,0,1
198,armenian,946
199,video,944
200,canada,936
201,church,925
202,fbi,925
203,dept,922
204,memory,917
205,posting,914
206,unix,913
207,hand,909
208,robert,905
209,health,902
210,color,901
211,country,897
212,pc,896
213,encryption,896
214,service,892
215,pay,891
216,turkish,884
217,jewish,881
218,private,880
219,u.s,878
220,earth,873
221,house,865
222,x-newsreader,864
223,black,862
224,rec.sport.hockey,861
225,28,860
226,christians,859
227,death,853
228,difference,852
229,display,848
230,user,848
231,school,846
232,ftp,846
233,sat,845
234,win,845
235,type,843
236,copy,835
237,server,835
238,california,833
239,hell,833
240,armenians,832
241,white,829
242,view,826
243,opinion,826
244,sense,822
245,faith,820
246,company,820
247,1.1,818
248,clipper,818
249,soc.religion.christian,815
250,sort,813
251,package,812
252,deal,809
253,police,809
254,rec.sport.baseball,809
255,political,805
256,summary,805
257,major,805
258,rec.motorcycles,803
259,morality,800
260,moral,799
261,city,799
262,services,797
263,contact,796
264,talking,794
265,christian@aramis.rutgers.edu,794
266,check,790
267,couple,789
268,christ,788
269,single,787
270,killed,784
271,nice,784
272,cost,783
273,frank,783
274,write,782
275,body,781
276,security,779
277,james,777
278,29,774
279,light,774
280,press,773
281,religious,773
282,argument,771
283,objective,771
284,happened,771
285,ibm,770
286,simple,767
287,san,767
288,dead,766
289,images,766
290,night,764
291,correct,763
292,hockey,758
293,monitor,758
294,provide,755
295,comp.sys.mac.hardware,752
296,100,751
297,board,750
298,tin,748
299,fine,746
300,society,745
301,50,741
302,fast,738
303,statement,737
304,position,734
305,form,732
306,experience,732
307,hardware,731
308,dave,730
309,western,729
310,format,728
311,situation,727
312,force,726
313,rest,726
314,york,723
315,rec.autos,722
316,women,721
317,washington,721
318,reading,721
319,common,720
320,laws,717
321,clinton,717
322,text,715
323,israeli,714
324,division,713
325,books,712
326,brian,712
327,sound,711
328,comp.sys.ibm.pc.hardware,709
329,personal,708
330,discussion,706
331,guy,704
332,period,704
333,players,703
334,users,702
335,lost,701
336,scsi,701
337,jpeg,699
338,study,698
339,hear,697
340,business,696
341,alt.atheism,695
342,size,694
343,bob,691
344,test,691
345,exist,689
346,advance,689
347,bike,685
348,happen,682
349,theory,681
350,account,680
351,hit,675
352,red,672
353,radio,672
354,screen,672
355,future,671
356,peter,670
357,corporation,669
358,head,669
359,office,669
360,series,668
361,apple,666
362,sci.electronics,666
363,sci.med,665
364,application,663
365,talk,662
366,accept,661
367,easy,661
368,medical,661
369,level,658
370,faq,658
371,special,655
372,add,655
373,months,655
374,considered,654
375,article-i.d,654
376,driver,653
377,insurance,651
378,week,647
379,guns,647
380,drivers,647
381,posted,646
382,ms,646
383,season,646
384,kill,645
385,worth,643
386,job,643
387,koresh,642
388,sell,642
389,peace,641
390,runs,640
391,expect,635
392,ma,633
393,short,633
394,project,633
395,32,630
396,manager,630
397,db,630
398,comp.windows.x,628
399,pittsburgh,625
400,thinking,624
401,texas,624
402,international,623
403,model,621
404,assume,620
405,ground,618
406,coming,616
407,ii,614
408,values,613
409,communications,613
410,doubt,612
411,quality,610
412,mode,608
413,military,606
414,land,606
415,united,606
416,federal,606
417,st,605
418,40,601
419,reference,598
420,includes,597
421,offer,596
422,comp.graphics,596
423,speak,595
424,process,593
425,bbs,592
426,tom,591
427,policy,590
428,response,590
429,i.e,589
430,hold,588
431,strong,588
432,sci.space,588
433,involved,587
434,thomas,587
435,eric,587
436,story,586
437,baseball,586
438,explain,585
439,previous,585
440,cars,583
441,bus,582
442,gas,582
443,toronto,581
444,specific,581
445,performance,579
446,talk.politics.guns,579
447,computing,577
448,issues,577
449,road,577
450,weapons,577
451,andrew,576
452,error,574
453,dr,573
454,freedom,572
455,building,572
456,result,572
457,total,572
458,legal,572
459,design,572
460,dod,572
461,water,571
462,population,569
463,0400,569
464,league,564
465,ram,564
466,leave,563
467,development,563
468,field,561
469,save,560
470,christianity,560
471,party,558
472,deleted,554
473,comp.os.ms-windows.misc,554
474,report,552
475,action,552
476,close,552
477,rate,552
478,appreciated,551
479,tape,550
480,basis,549
481,player,549
482,friend,547
483,child,546
484,richard,546
485,claims,545
486,return,543
487,smith,543
488,nasa,542
489,tv,539
490,knowledge,539
491,choice,539
492,voice,538
493,media,538
494,cut,537
495,technical,537
496,sci.crypt,537
497,average,536
498,ideas,536
499,1992,535
500,build,535
501,boston,534
502,reasons,532
503,mentioned,530
504,reply,528
505,jon,528
506,scott,528
507,armenia,527
508,drug,527
509,applications,525
510,complete,525
511,sin,525
512,takes,524
513,administration,522
514,univ,521
515,exists,520
516,chicago,520
517,31,520
518,die,519
519,drives,519
520,crime,518
521,anonymous,518
522,completely,515
523,disclaimer,514
524,appears,514
525,sounds,514
526,required,513
527,batf,513
528,comments,512
529,shot,511
530,court,511
531,output,511
532,modem,511
533,chris,510
534,weeks,510
535,bought,510
536,germany,508
537,scientific,506
538,details,506
539,basic,505
540,lord,505
541,newsgroup,505
542,waco,505
543,al,504
544,nature,504
545,created,503
546,des,503
547,keith,503
548,illinois,502
549,sources,501
550,god's,501
551,existence,500
552,muslim,500
553,living,499
554,cover,499
555,looked,498
556,universe,498
557,chance,497
558,create,496
559,food,496
560,air,495
561,individual,494
562,supposed,494
563,cards,494
564,controller,494
565,george,493
566,finally,492
567,meaning,492
568,belief,492
569,terms,491
570,33,491
571,algorithm,491
572,main,490
573,faster,490
574,purpose,490
575,digital,490
576,machines,489
577,arab,488
578,views,488
579,folks,488
580,russian,487
581,arms,487
582,follow,486
583,muslims,485
584,site,485
585,manual,485
586,mouse,484
587,mass,483
588,blue,483
589,in-reply-to,482
590,lead,482
591,final,480
592,attack,479
593,north,479
594,prove,479
595,plan,479
596,family,478
597,term,477
598,turkey,477
599,language,476
600,noise,476
601,atheists,476
602,community,475
603,learn,474
604,base,474
605,events,473
606,figure,473
607,genocide,472
608,rule,472
609,goal,471
610,built,470
611,directory,469
612,secret,468
613,entire,467
614,interface,467
615,command,466
616,ny,466
617,cheap,466
618,lots,463
619,america,463
620,reasonable,463
621,motif,461
622,designed,459
623,object,459
624,tim,459
625,2000,459
626,condition,459
627,record,459
628,dan,458
629,wait,458
630,commercial,458
631,joseph,457
632,advice,457
633,engine,457
634,normal,456
635,gif,455
636,allowed,454
637,paper,454
638,sex,454
639,library,452
640,drugs,452
641,defense,452
642,rules,451
643,stated,450
644,hours,450
645,device,450
646,release,449
647,uk,448
648,south,448
649,miles,448
650,carry,448
651,event,447
652,edt,446
653,lab,446
654,product,446
655,serial,446
656,laboratory,444
657,easily,444
658,port,444
659,privacy,444
660,reality,442
661,request,442
662,wondering,441
663,difficult,440
664,tax,440
665,pat,440
666,son,439
667,happy,439
668,la,439
669,fan,438
670,responsible,438
671,break,438
672,bring,438
673,poster,437
674,decided,437
675,stupid,437
676,joe,437
677,3.1,437
678,studies,436
679,lives,436
680,hp,436
681,solution,435
682,market,435
683,physical,434
684,definition,433
685,products,433
686,bits,433
687,turks,432
688,method,432
689,35,432
690,suppose,432
691,west,430
692,citizens,429
693,changed,429
694,illegal,429
695,trouble,429
696,analysis,429
697,station,428
698,owner,428
699,mention,427
700,guys,427
701,equipment,427
702,companies,427
703,attempt,425
704,actions,425
705,originator,425
706,oil,425
707,abortion,425
708,father,424
709,conference,424
710,disease,423
711,green,423
712,imagine,422
713,reported,422
714,class,422
715,fans,421
716,civil,420
717,died,420
718,corp,420
719,brought,420
720,forget,420
721,pick,419
722,age,418
723,limited,418
724,official,417
725,ray,416
726,devices,414
727,printer,414
728,hedrick@athos.rutgers.edu,414
729,wife,413
730,launch,413
731,apply,412
732,letter,412
733,murder,412
734,extra,412
735,street,412
736,east,410
737,lack,410
738,education,409
739,chips,409
740,gm,409
741,door,408
742,decision,408
743,environment,407
744,greek,406
745,watch,406
746,americans,406
747,hate,405
748,misc.forsale,405
749,avoid,404
750,stand,404
751,georgia,403
752,e.g,402
753,congress,402
754,heart,402
755,king,401
756,ide,401
757,homosexuality,401
758,btw,400
759,search,400
760,mission,400
761,cable,400
762,require,399
763,reports,398
764,trade,398
765,function,398
766,coverage,398
767,caused,397
768,worse,397
769,safety,396
770,fall,396
771,teams,396
772,evil,394
773,gary,394
774,online,394
775,compound,394
776,nhl,394
777,quote,393
778,volume,393
779,1st,393
780,internal,393
781,continue,392
782,authority,392
783,europe,392
784,ken,391
785,excellent,391
786,choose,390
787,ability,390
788,blood,389
789,starting,389
790,serdar,387
791,input,387
792,natural,386
793,material,386
794,addition,385
795,practice,384
796,microsoft,384
797,pass,383
798,tools,383
799,hedrick@geneva.rutgers.edu,383
800,protect,381
801,friends,381
802,cpu,381
803,killing,380
804,suspect,380
805,supply,380
806,proof,379
807,countries,379
808,context,379
809,jack,378
810,obvious,377
811,approach,377
812,jeff,376
813,won,376
814,gordon,376
815,requires,376
816,installed,376
817,floppy,376
818,stay,375
819,yeah,375
820,disks,375
821,talk.politics.mideast,374
822,basically,374
823,poor,374
824,colorado,374
825,sites,374
826,lee,374
827,stephen,374
828,author,373
829,orbit,373
830,month,372
831,expressed,372
832,unit,372
833,respect,371
834,doug,371
835,soldiers,370
836,argic,370
837,effective,370
838,picture,370
839,committee,369
840,44,369
841,range,369
842,protection,369
843,cambridge,368
844,logic,368
845,earlier,368
846,moon,368
847,matthew,368
848,prevent,367
849,vote,365
850,80,364
851,hands,364
852,reserve,364
853,costs,364
854,shuttle,364
855,social,363
856,handle,363
857,electronic,362
858,homosexual,362
859,independent,361
860,at&t,361
861,atf,361
862,administrator,360
863,clock,360
864,define,359
865,islam,359
866,played,359
867,shipping,359
868,ron,359
869,false,358
870,minutes,358
871,mormons,357
872,posts,356
873,los,356
874,increase,356
875,3d,356
876,published,355
877,majority,355
878,60,355
879,supports,355
880,heaven,355
881,nt,355
882,middle,354
883,and/or,354
884,beliefs,354
885,programming,354
886,34,353
887,trust,353
888,amendment,353
889,understanding,352
890,realize,352
891,print,352
892,standards,352
893,modern,351
894,army,351
895,mother,351
896,playing,351
897,treatment,351
898,mary,351
899,agents,350
900,mailing,349
901,enforcement,349
902,os/2,349
903,names,348
904,writing,347
905,comment,347
906,articles,347
907,ohio,347
908,austin,347
909,vga,347
910,soviet,346
911,march,346
912,sold,346
913,gay,346
914,charles,346
915,1991,345
916,suggestions,345
917,acts,344
918,larry,344
919,art,344
920,morning,343
921,calls,343
922,personally,342
923,driving,342
924,hey,341
925,serve,340
926,student,340
927,200,340
928,effort,340
929,nsa,340
930,features,339
931,arguments,339
932,tel,338
933,regular,338
934,recall,338
935,dangerous,337
936,convert,337
937,rob,337
938,hole,337
939,straight,336
940,constitution,336
941,myers,336
942,statements,335
943,pain,335
944,gateway,335
945,secure,335
946,draw,335
947,hot,335
948,energy,335
949,perfect,334
950,developed,334
951,intended,334
952,behavior,334
953,responsibility,333
954,virginia,333
955,aware,332
956,widget,332
957,kids,331
958,risk,331
959,paid,331
960,physics,331
961,cd,331
962,fair,330
963,direct,330
964,sexual,330
965,multiple,330
966,buying,330
967,medicine,330
968,atheism,330
969,notice,329
970,justice,329
971,90,329
972,greatly,329
973,resources,329
974,block,328
975,fit,328
976,500,328
977,assuming,327
978,roger,327
979,title,326
980,1990,326
981,surface,326
982,37,326
983,loss,326
984,colors,326
985,supported,325
986,switch,325
987,36,325
988,judge,325
989,british,324
990,38,324
991,angeles,324
992,effects,323
993,remote,322
994,2nd,322
995,popular,321
996,option,320
997,william,320
998,o'dwyer,320
999,slow,319
1000,setting,319
1001,options,319
1002,types,319
1003,errors,319
1004,alan,318
1005,concerned,318
1006,greg,318
1007,proper,317
1008,meant,317
1009,charge,317
1010,45,317
1011,answers,317
1012,entry,317
1013,double,316
1014,closed,315
1015,branch,315
1016,absolutely,315
1017,cleveland,315
1018,banks,315
1019,processing,315
1020,totally,314
1021,van,314
1022,expensive,314
1023,bmw,314
1024,arabs,313
1025,activities,312
1026,park,312
1027,firearms,312
1028,patients,312
1029,actual,312
1030,forces,311
1031,moment,311
1032,agency,311
1033,fight,310
1034,postscript,310
1035,pgp,310
1036,talk.religion.misc,310
1037,fonts,309
1038,objects,309
1039,operation,308
1040,spend,308
1041,prices,308
1042,share,307
1043,decide,307
1044,bear,307
1045,don,307
1046,jason,307
1047,doctor,306
1048,australia,306
1049,ride,306
1050,calling,305
1051,compared,305
1052,safe,305
1053,respond,305
1054,300,305
1055,bell,305
1056,foreign,304
1057,eyes,303
1058,percent,303
1059,selling,303
1060,cult,303
1061,claimed,302
1062,property,302
1063,disagree,302
1064,woman,302
1065,concept,302
1066,models,302
1067,thousands,301
1068,nuclear,301
1069,step,301
1070,kent,301
1071,prefer,301
1072,cs,301
1073,upgrade,301
1074,individuals,300
1075,stick,300
1076,atheist,300
1077,copies,300
1078,dealer,300
1079,ryan,300
1080,battery,300
1081,cancer,299
1082,absolute,299
1083,tx,299
1084,putting,299
1085,traffic,299
1086,defined,298
1087,42,298
1088,solar,298
1089,wings,298
1090,passed,297
1091,jobs,297
1092,moving,297
1093,fear,297
1094,weight,297
1095,mhz,297
1096,impossible,296
1097,table,296
1098,noticed,296
1099,thread,296
1100,hall,296
1101,bruce,296
1102,andy,296
1103,radar,296
1104,wide,295
1105,armed,295
1106,born,294
1107,keyboard,294
1108,messages,293
1109,additional,293
1110,rich,293
1111,communication,293
1112,kevin,293
1113,daniel,293
1114,cup,293
1115,azerbaijan,292
1116,possibility,292
1117,signal,292
1118,3rd,292
1119,expected,292
1120,satellite,292
1121,crypto,292
1122,bunch,291
1123,islamic,291
1124,quick,291
1125,motorola,291
1126,accepted,290
1127,random,290
1128,status,289
1129,math,288
1130,separate,288
1131,bios,287
1132,european,286
1133,training,286
1134,argue,286
1135,holocaust,285
1136,mountain,285
1137,failed,285
1138,trial,285
1139,easier,285
1140,creation,285
1141,highly,285
1142,review,284
1143,1988,284
1144,count,284
1145,meet,284
1146,font,284
1147,41,283
1148,race,283
1149,sciences,283
1150,msg,283
1151,external,283
1152,holy,283
1153,scripture,283
1154,express,283
1155,innocent,282
1156,conclusion,282
1157,document,282
1158,admit,282
1159,owners,282
1160,tech,282
1161,receive,282
1162,shots,282
1163,equal,282
1164,stephanopoulos,282
1165,larger,281
1166,resolution,281
1167,92,281
1168,morris,281
1169,daily,280
1170,town,280
1171,parents,280
1172,monitors,280
1173,electronics,280
1174,ad,279
1175,phil,279
1176,55.0,279
1177,transfer,278
1178,drop,278
1179,leaders,278
1180,description,278
1181,sky,278
1182,produce,278
1183,henry,278
1184,warrant,278
1185,flight,277
1186,rates,277
1187,functions,277
1188,versions,277
1189,flames,276
1190,taxes,276
1191,frame,276
1192,connection,276
1193,md,276
1194,potential,276
1195,soul,275
1196,macintosh,275
1197,english,274
1198,instance,274
1199,alive,273
1200,committed,273
1201,rochester,273
1202,degree,273
1203,magazine,273
1204,planet,273
1205,speaking,273
1206,pa,273
1207,aids,273
1208,408,273
1209,eternal,273
1210,detroit,273
1211,install,273
1212,simms,273
1213,escrow,273
1214,proposed,272
1215,knowing,272
1216,license,272
1217,dc,272
1218,attention,271
1219,parties,271
1220,nation,271
1221,attacks,271
1222,43,271
1223,fun,271
1224,electrical,271
1225,vehicle,271
1226,background,270
1227,summer,270
1228,yesterday,270
1229,believed,270
1230,missing,269
1231,ready,269
1232,flame,269
1233,spirit,268
1234,professor,268
1235,adam,268
1236,purchase,268
1237,tool,268
1238,tend,268
1239,stats,268
1240,activity,267
1241,espn,267
1242,lose,266
1243,properly,266
1244,role,266
1245,convention,266
1246,sign,265
1247,throw,265
1248,criminals,265
1249,agencies,265
1250,ball,265
1251,heat,265
1252,offers,265
1253,luck,265
1254,guest,265
1255,humans,265
1256,3.0,265
1257,escape,264
1258,accurate,264
1259,valid,264
1260,39,264
1261,documentation,264
1262,computers,264
1263,motherboard,264
1264,xterm,264
1265,archive,263
1266,eventually,263
1267,sunday,263
1268,catholic,263
1269,keeping,263
1270,century,262
1271,advantage,262
1272,wire,262
1273,mb,262
1274,rangers,262
1275,beat,261
1276,attitude,261
1277,intelligence,261
1278,davidians,261
1279,piece,260
1280,isa,260
1281,seattle,260
1282,brain,258
1283,leads,258
1284,purposes,258
1285,alternative,258
1286,allen,258
1287,jose,258
1288,audio,258
1289,mit,258
1290,bodies,257
1291,released,257
1292,circuit,257
1293,telephone,256
1294,applied,256
1295,discuss,256
1296,listen,256
1297,formats,256
1298,evolution,256
1299,troops,255
1300,cold,255
1301,existing,255
1302,determine,255
1303,compare,255
1304,changing,255
1305,pro,255
1306,billion,255
1307,75,255
1308,solid,254
1309,speech,254
1310,montreal,254
1311,boards,254
1312,clutch,254
1313,tony,254
1314,guide,253
1315,reach,253
1316,goals,253
1317,star,253
1318,methods,252
1319,51,252
1320,telling,252
1321,michigan,252
1322,nj,252
1323,ice,252
1324,pressure,251
1325,ontario,251
1326,louis,251
1327,remove,251
1328,clean,251
1329,meg,251
1330,heavy,250
1331,grant,250
1332,postings,250
1333,minor,250
1334,industry,250
1335,examples,250
1336,topic,250
1337,ted,250
1338,compatible,250
1339,braves,250
1340,sgi,250
1341,roads,249
1342,bank,249
1343,recognize,249
1344,cross,249
1345,penalty,249
1346,spacecraft,249
1347,biblical,249
1348,religions,249
1349,management,249
1350,typical,248
1351,carried,248
1352,german,248
1353,limit,248
1354,ford,248
1355,mistake,247
1356,news-software,247
1357,worst,247
1358,leafs,247
1359,historical,246
1360,watching,246
1361,spencer,246
1362,rom,246
1363,huge,245
1364,suggested,244
1365,florida,243
1366,debate,243
1367,character,243
1368,defend,243
1369,central,243
1370,officers,243
1371,waste,243
1372,weapon,243
1373,frank@d012s658.uucp,243
1374,clayton,243
1375,damn,242
1376,spent,242
1377,levels,242
1378,49,242
1379,domain,242
1380,denver,242
1381,hospital,241
1382,sick,241
1383,complex,241
1384,miller,241
1385,os,240
1386,lived,240
1387,movement,240
1388,advanced,240
1389,worry,240
1390,notes,240
1391,pl8,240
1392,editor,239
1393,vax/vms,239
1394,conditions,239
1395,wall,239
1396,fighting,238
1397,0500,238
1398,active,238
1399,temperature,238
1400,russia,237
1401,depends,237
1402,ps,237
1403,lie,236
1404,documents,236
1405,criminal,236
1406,helps,236
1407,46,236
1408,diego,236
1409,afraid,236
1410,starts,236
1411,eye,236
1412,eat,236
1413,operations,236
1414,damage,235
1415,sci,235
1416,connected,235
1417,atlanta,235
1418,economic,235
1419,statistics,235
1420,blame,235
1421,papers,235
1422,feeling,235
1423,strange,235
1424,douglas,235
1425,compression,235
1426,cryptography,235
1427,exact,234
1428,store,234
1429,riding,234
1430,minority,234
1431,students,234
1432,capable,234
1433,regard,234
1434,southern,233
1435,refer,233
1436,direction,233
1437,proposal,233
1438,load,233
1439,craig,233
1440,homosexuals,233
1441,x11r5,233
1442,drawing,232
1443,club,232
1444,martin,232
1445,broken,232
1446,48,232
1447,urbana,232
1448,shell,232
1449,feet,232
1450,extremely,232
1451,parallel,232
1452,update,232
1453,steven,231
1454,usual,231
1455,survivors,231
1456,zone,231
1457,missed,231
1458,fault,231
1459,ignore,231
1460,setup,231
1461,replace,231
1462,dark,230
1463,governments,230
1464,netnews,230
1465,256,230
1466,meeting,229
1467,marc,229
1468,positive,229
1469,cheers,229
1470,bet,229
1471,p.o,228
1472,hurt,228
1473,mellon,228
1474,70,228
1475,imho,228
1476,gods,228
1477,hd,228
1478,frequently,227
1479,brother,227
1480,carnegie,227
1481,tank,227
1482,dog,226
1483,violence,226
1484,association,226
1485,vancouver,226
1486,officials,226
1487,61,226
1488,generation,226
1489,authorities,225
1490,assault,225
1491,warning,225
1492,relevant,225
1493,hst,225
1494,correctly,224
1495,francisco,224
1496,june,224
1497,measure,224
1498,factor,224
1499,feature,224
1500,select,224
1501,mars,224
1502,sera@zuma.uucp,223
1503,location,223
1504,admin,223
1505,holes,223
1506,default,223
1507,ati,223
1508,lies,222
1509,develop,222
1510,astronomy,222
1511,91,222
1512,amiga,222
1513,deaths,221
1514,remain,221
1515,reaction,221
1516,cramer,221
1517,villages,220
1518,curious,220
1519,shooting,220
1520,distance,220
1521,waiting,220
1522,foundation,220
1523,doctrine,220
1524,xv,220
1525,expansion,219
1526,legitimate,219
1527,cheaper,219
1528,percentage,219
1529,budget,219
1530,automatic,219
1531,2.0,219
1532,va,219
1533,openwindows,219
1534,structure,218
1535,tanks,218
1536,abuse,218
1537,150,218
1538,excuse,218
1539,length,218
1540,raised,218
1541,export,218
1542,chemistry,218
1543,readers,217
1544,ancient,217
1545,nec,217
1546,funny,217
1547,holding,217
1548,host,217
1549,fuel,217
1550,engineer,216
1551,london,216
1552,happening,216
1553,male,216
1554,hearing,216
1555,fred,216
1556,edge,216
1557,packages,216
1558,militia,215
1559,nick,215
1560,boulder,215
1561,brown,214
1562,punishment,214
1563,replaced,214
1564,plans,214
1565,opposed,214
1566,pictures,214
1567,est,214
1568,johnson,214
1569,diet,214
1570,playoff,214
1571,acceptable,213
1572,surprised,213
1573,link,213
1574,400,213
1575,named,213
1576,tests,213
1577,philadelphia,213
1578,lunar,213
1579,shareware,213
1580,brad,212
1581,2.5,212
1582,success,212
1583,translation,212
1584,capital,212
1585,vnews,212
1586,netcom,212
1587,virtual,212
1588,nations,211
1589,threat,211
1590,quoted,211
1591,responses,211
1592,tells,211
1593,client,211
1594,draft,211
1595,civilians,210
1596,letters,210
1597,recommend,210
1598,lists,210
1599,operating,210
1600,minnesota,210
1601,interpretation,210
1602,honda,210
1603,leading,209
1604,auto,209
1605,edward,209
1606,ottawa,209
1607,minute,209
1608,worship,209
1609,differences,209
1610,music,209
1611,rock,209
1612,encrypted,209
1613,dec,208
1614,employer,208
1615,saved,208
1616,initial,208
1617,relationship,208
1618,followers,208
1619,items,208
1620,playoffs,208
1621,conflict,207
1622,plain,207
1623,organizations,207
1624,demand,207
1625,weak,207
1626,fixed,207
1627,marriage,207
1628,cops,207
1629,resource,207
1630,pixel,207
1631,blues,207
1632,davis,206
1633,assumption,206
1634,stopped,206
1635,persons,206
1636,announcement,206
1637,250,206
1638,diamond,206
1639,1989,205
1640,prior,205
1641,explanation,205
1642,surely,205
1643,usenet@news.cso.uiuc.edu,205
1644,forced,205
1645,winning,205
1646,kinds,205
1647,originally,205
1648,situations,205
1649,canadian,205
1650,raise,205
1651,pin,205
1652,reduce,205
1653,sandvik@newton.apple.com,205
1654,master,204
1655,village,204
1656,47,204
1657,guilty,204
1658,patrick,204
1659,libertarian,204
1660,opportunity,204
1661,doctors,204
1662,terminal,204
1663,cache,204
1664,standing,203
1665,floor,203
1666,rocket,203
1667,fired,203
1668,benefit,203
1669,decent,203
1670,primary,203
1671,discovered,203
1672,connect,203
1673,manner,202
1674,max,202
1675,tradition,202
1676,paying,202
1677,brand,202
1678,score,202
1679,visual,202
1680,claiming,201
1681,jerusalem,201
1682,council,201
1683,nazis,201
1684,boy,201
1685,walk,201
1686,ensure,201
1687,scheme,201
1688,annual,201
1689,motorcycle,201
1690,64,201
1691,rick,201
1692,wiretap,201
1693,nazi,200
1694,sweden,200
1695,centre,200
1696,session,200
1697,finding,200
1698,covered,200
1699,stanford,200
1700,anderson,200
1701,walker,200
1702,concern,200
1703,technologies,200
1704,vitamin,200
1705,consistent,199
1706,sending,199
1707,sports,199
1708,addresses,199
1709,sales,199
1710,discussed,199
1711,requirements,199
1712,button,199
1713,buffalo,199
1714,jehovah,199
1715,leader,198
1716,reliable,198
1717,baltimore,198
1718,pull,198
1719,gain,198
1720,registration,198
1721,wayne,198
1722,cal,198
1723,"alt.atheism,talk.religion.misc,talk.origins",198
1724,fail,197
1725,bosnia,197
1726,cities,197
1727,afford,197
1728,powerful,197
1729,academic,197
1730,distributed,197
1731,sig,197
1732,486,197
1733,familiar,196
1734,sitting,196
1735,essentially,196
1736,discussions,196
1737,japanese,196
1738,dollars,196
1739,backup,196
1740,database,196
1741,met,195
1742,observations,195
1743,columbia,195
1744,perfectly,195
1745,listed,195
1746,sample,195
1747,conversion,195
1748,houston,195
1749,sets,194
1750,jonathan,194
1751,learned,193
1752,shoot,193
1753,providing,193
1754,experiences,193
1755,island,193
1756,printing,193
1757,iii,193
1758,tear,193
1759,59,192
1760,1/2,192
1761,aaron,192
1762,berkeley,191
1763,lake,191
1764,perry,191
1765,rear,191
1766,matt,191
1767,quadra,191
1768,christopher,190
1769,enjoy,190
1770,proven,190
1771,configuration,190
1772,join,189
1773,burned,189
1774,secretary,189
1775,sufficient,189
1776,convex,189
1777,career,189
1778,checked,189
1779,utility,189
1780,comp,188
1781,logical,188
1782,track,188
1783,units,188
1784,established,188
1785,decisions,188
1786,judgement,187
1787,origin,187
1788,region,187
1789,palestinians,187
1790,funds,187
1791,53,187
1792,contrary,187
1793,talk.politics.misc,187
1794,flyers,187
1795,cdt,187
1796,satan,187
1797,istanbul,186
1798,culture,186
